ID,Imię,Nazwisko,Email,Rola
1,Julia,Zielińska,piotr.piotrowski@example.com,Użytkownik
2,Jan,Kamiński,jan.zielińska@example.com,Użytkownik
3,Marek,Kaczmarek,ewa.wójcik@example.com,Administrator
4,Ewa,Piotrowski,katarzyna.wójcik@example.com,Administrator
5,Julia,Piotrowski,marek.zielińska@example.com,Użytkownik
6,Julia,Lewandowski,julia.nowak@example.com,Użytkownik
7,Jan,Piotrowski,ewa.zielińska@example.com,Użytkownik
8,Marek,Kaczmarek,julia.szymański@example.com,Administrator
9,Tomasz,Kowalski,tomasz.nowak@example.com,Administrator
10,Katarzyna,Kowalski,adam.wójcik@example.com,Użytkownik
11,Jan,Kamiński,katarzyna.kamiński@example.com,Użytkownik
12,Jan,Nowak,tomasz.kowalski@example.com,Moderator
13,Anna,Kowalski,tomasz.piotrowski@example.com,Administrator
14,Anna,Wójcik,katarzyna.piotrowski@example.com,Administrator
15,Adam,Nowak,julia.piotrowski@example.com,Administrator
16,Adam,Wójcik,marek.piotrowski@example.com,Moderator
17,Anna,Kaczmarek,marek.lewandowski@example.com,Administrator
18,Piotr,Szymański,anna.zielińska@example.com,Administrator
19,Anna,Nowak,ewa.kamiński@example.com,Moderator
20,Julia,Piotrowski,piotr.kaczmarek@example.com,Administrator
21,Adam,Wiśniewski,tomasz.szymański@example.com,Moderator
22,Piotr,Kamiński,katarzyna.szymański@example.com,Moderator
23,Piotr,Piotrowski,julia.lewandowski@example.com,Użytkownik
24,Anna,Nowak,tomasz.piotrowski@example.com,Administrator
25,Anna,Kamiński,ewa.piotrowski@example.com,Administrator
26,Monika,Wójcik,marek.wiśniewski@example.com,Użytkownik
27,Tomasz,Zielińska,monika.kaczmarek@example.com,Moderator
28,Monika,Kowalski,katarzyna.wójcik@example.com,Użytkownik
29,Anna,Zielińska,adam.piotrowski@example.com,Moderator
30,Ewa,Kaczmarek,anna.piotrowski@example.com,Moderator
